# Logfile created on 2026-03-26 17:23:04 +0100 by logger.rb/v1.5.3
2026-03-26 17:23:04 +0100: Memory Usage (438224K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/BGR.gds
2026-03-26 17:23:04 +0100: Memory Usage (438224K) : Ruby Version for klayout: 3.2.3
2026-03-26 17:23:04 +0100: Memory Usage (439120K) : Loading database to memory is complete.
2026-03-26 17:23:04 +0100: Memory Usage (439120K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_BGR/BGR_BGR_main.lyrdb
2026-03-26 17:23:04 +0100: Memory Usage (439248K) : Evaluate switches.
2026-03-26 17:23:04 +0100: Memory Usage (439248K) : tables selected: main
2026-03-26 17:23:04 +0100: Memory Usage (439248K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-26 17:23:04 +0100: Memory Usage (439248K) : deep mode is enabled.
2026-03-26 17:23:04 +0100: Memory Usage (439248K) : FEOL enabled: true
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : BEOL enabled: true
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : OFFGRID enabled: true
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : PIN enabled: true
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : FORBIDDEN enabled: true
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : RECOMMENDED enabled: true
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : PreCheck DRC enabled: false
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : CONNECTIVITY_RULES enabled: true.
2026-03-26 17:23:04 +0100: Memory Usage (439376K) : Read in polygons from layers.
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_drw has 165 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_pin has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_mask has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_filler has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_nofill has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_opc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_iopc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : activ_noqrc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : biwind_drw has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : biwind_opc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : pemwind_drw has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_drw has 200 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_pin has 35 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_filler has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_nofill has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_opc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_iopc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : gatpoly_noqrc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : cont_drw has 1037 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : cont_opc has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : nsd_drw has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : nsd_block has 0 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : metal1_drw has 315 polygons
2026-03-26 17:23:04 +0100: Memory Usage (440972K) : metal1_pin has 139 polygons
