# Logfile created on 2026-03-26 17:02:23 +0100 by logger.rb/v1.5.3
2026-03-26 17:02:24 +0100: Memory Usage (439032K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/LDO.gds
2026-03-26 17:02:24 +0100: Memory Usage (439032K) : Ruby Version for klayout: 3.2.3
2026-03-26 17:02:24 +0100: Memory Usage (440056K) : Loading database to memory is complete.
2026-03-26 17:02:24 +0100: Memory Usage (440056K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_LDO/LDO_LDO_main.lyrdb
2026-03-26 17:02:24 +0100: Memory Usage (440184K) : Evaluate switches.
2026-03-26 17:02:24 +0100: Memory Usage (440184K) : tables selected: main
2026-03-26 17:02:24 +0100: Memory Usage (440184K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-26 17:02:24 +0100: Memory Usage (440184K) : deep mode is enabled.
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : FEOL enabled: true
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : BEOL enabled: true
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : OFFGRID enabled: true
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : PIN enabled: true
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : FORBIDDEN enabled: true
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : RECOMMENDED enabled: true
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : PreCheck DRC enabled: false
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : CONNECTIVITY_RULES enabled: true.
2026-03-26 17:02:24 +0100: Memory Usage (440312K) : Read in polygons from layers.
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_drw has 613 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_pin has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_mask has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_filler has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_nofill has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_opc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_iopc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : activ_noqrc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : biwind_drw has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : biwind_opc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : pemwind_drw has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_drw has 625 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_pin has 181 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_filler has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_nofill has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_opc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_iopc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441464K) : gatpoly_noqrc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441592K) : cont_drw has 2474 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441592K) : cont_opc has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441720K) : nsd_drw has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441848K) : nsd_block has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441848K) : metal1_drw has 1023 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441848K) : metal1_pin has 490 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441848K) : metal1_mask has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441976K) : metal1_filler has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (441976K) : metal1_nofill has 0 polygons
2026-03-26 17:02:24 +0100: Memory Usage (442104K) : metal1_slit has 0 polygons
