# Logfile created on 2026-02-24 09:17:52 +0100 by logger.rb/v1.5.3
2026-02-24 09:17:52 +0100: Memory Usage (437944K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/clock_final_2.gds
2026-02-24 09:17:52 +0100: Memory Usage (437944K) : Ruby Version for klayout: 3.2.3
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : Loading database to memory is complete.
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_clock_final/clock_final_2_clock_final_main.lyrdb
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : Evaluate switches.
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : tables selected: main
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : KLayout will use 1 thread(s) in tiled mode.
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : deep mode is enabled.
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : FEOL enabled: true
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : BEOL enabled: true
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : OFFGRID enabled: true
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : PIN enabled: true
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : FORBIDDEN enabled: true
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : RECOMMENDED enabled: true
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : PreCheck DRC enabled: false
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : CONNECTIVITY_RULES enabled: true.
2026-02-24 09:17:52 +0100: Memory Usage (439424K) : Read in polygons from layers.
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_drw has 166 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_pin has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_mask has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_filler has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_nofill has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_iopc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : activ_noqrc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : biwind_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : biwind_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : pemwind_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_drw has 61 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_pin has 9 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_filler has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_nofill has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_iopc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : gatpoly_noqrc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : cont_drw has 1642 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : cont_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : nsd_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (440960K) : nsd_block has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441088K) : metal1_drw has 190 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441088K) : metal1_pin has 20 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441088K) : metal1_mask has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441088K) : metal1_filler has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441344K) : metal1_nofill has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441344K) : metal1_slit has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441472K) : metal1_text has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441472K) : metal1_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441472K) : metal1_noqrc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441600K) : metal1_res has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441600K) : metal1_iprobe has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441600K) : metal1_diffprb has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441728K) : passiv_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441728K) : passiv_pin has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441856K) : passiv_sbump has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441856K) : passiv_pillar has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441984K) : passiv_pdl has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (441984K) : metal2_drw has 90 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442112K) : metal2_pin has 3 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442112K) : metal2_mask has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442112K) : metal2_filler has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442240K) : metal2_nofill has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442240K) : metal2_slit has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442368K) : metal2_text has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442496K) : metal2_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442496K) : metal2_noqrc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442496K) : metal2_res has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442624K) : metal2_iprobe has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442624K) : metal2_diffprb has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442752K) : baspoly_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442752K) : baspoly_pin has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442880K) : psd_drw has 62 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442880K) : nldb_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (442880K) : digibnd_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443008K) : via1_drw has 43 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443008K) : backmetal1_drw has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443136K) : backmetal1_pin has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443136K) : backmetal1_mask has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443264K) : backmetal1_filler has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443264K) : backmetal1_nofill has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443392K) : backmetal1_slit has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443392K) : backmetal1_text has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443392K) : backmetal1_opc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443520K) : backmetal1_noqrc has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443520K) : backmetal1_res has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443648K) : backmetal1_iprobe has 0 polygons
2026-02-24 09:17:52 +0100: Memory Usage (443648K) : backmetal1_diffprb has 0 polygons
